Row number	Mongo ID	Author	Topic	Stance	Intended Fallacy	Voted Fallacy	Number of Votes	Text
0	6934db0d885b3fac	bbc9da056b6a9234	Should cellphones be used during class?	contra	Appeal to Emotion	-	0	No, imagine you were a teacher and everybody would just concentrate on their smartphones? How would that feel?
1	ee6d7274a24775f4	a4f93c2c8cc92a8c	Has anyone been on the moon?	contra	Red Herring	-	1	The moon is so far away, we should focus on our society.
2	d9fdef824f3ad0cf	3f4339e14df7d077	Is it justified to develop nuclear energy for commercial use?	contra	Irrelevant Authority	Irrelevant Authority	6	The green party in Germany has the opinion, that nuclear reactors are bad for us. It is not ok
3	b72997c3180d5d7b	e01c557ce0fdb585	Do social networking sites have a positive impact on society?	contra	Red Herring	-	0	No, not at all. Nowadays kids spend all time playing around with tablets and smartphones, which is kinda detrimental to their proper development.
4	6322e37dbaa299b8	d038663d70f77d9b	Should driving under the influence of alcohol be forbidden?	pro	No Fallacy	No Fallacy	8	Yes,  whoever drinks and drives has a bad reaction time. People might die.
5	04a613a75297d0b2	b074a654d0e7916c	Should gorillas be held in zoos	pro	Ad Hominem	-	1	the natural habitat of the guerrilla is in jeopardy of not existing. Zoo's provide something of a to ensure survival of the species. Zoos may not always be ideal, but it is better than the alternatives.
6	2f82a13062f04847	4a80840354d1491c	Should computers be allowed in class rooms?	contra	No Fallacy	No Fallacy	4	Computers are bad for the development of childrens brains.
7	84003d45cc312c8e	70b71e41cbf31e2a	Should Christians accept same sex marriage?	pro	No Fallacy	-	0	Of course same-sex marriage should be allowed.
8	149950a87a7b5506	3f4339e14df7d077	Do we need a global environment task force?	pro	Hasty Generalization	Hasty Generalization	9	The global taskforce for human rights is doing a good job. Thats why we need one for environment,  too.
9	7386ec3fb044caa8	4991124a65f43eb5	Should marijuana be legalized for individual use due to health condition?	contra	No Fallacy	No Fallacy	4	Under no circumstances should marijuana be legalized.
10	c40d0cb46152e915	e11a3962d5de1cde	Is Christianity a peaceful religion?	pro	Appeal to Emotion	-	1	Christianity teaches to try to make everyone happy. Unlike other religions that build up on hate...
11	d1ac61f3a3694871	e6bca257e0330a95	Is the oppression of women by men a serious problem?	pro	No Fallacy	No Fallacy	12	We shouldn't allow men to oppress women.
12	f7dc8591a2f841a0	cc1eee636691c425	Should animals have special rights?	contra	Irrelevant Authority	Ad Hominem	11	Regarding this argumentation you have the IQ of an insect.  Do you think you need special rights?
13	44f0e363d854fbf6	3eb1750360f2ca64	Is nuclear power a reasonable energy source?	contra	Appeal to Emotion	-	0	Nuclear power was the reason of death of millions of people. It should vanish from this planet
14	51247342ab60fed0	b5d9b8b993b4de17	Is the oppression of women by men a serious problem?	contra	Irrelevant Authority	-	1	Nah my Dad says he treats my Mom nice so I know there isn't an issue here.
15	e641175707c67a1c	cc1eee636691c425	Do celebrities get away with more crime than non-celebrities?	pro	Red Herring	Red Herring	3	Celebrities suck. They do just want to get more famous, thats all...
16	1369a0c1401a0229	d5e1b82e883043b8	Is veganism the best for our bodies?	contra	Ad Hominem	-	2	humans are omnivores, we need both meat and vegetables.
17	9602880f5353c93f	9e373652b43ae58a	Is democracy the best system available?	contra	No Fallacy	-	1	good point. why not
18	fb3b8fdbcf60aa45	6e698bf0ba21fe96	Has television destroyed the communication among friends and family?	pro	No Fallacy	-	0	just a test argument
19	ec03590b4ea7cd82	5a95f2363e6767a8	Is Christianity a peaceful religion?	pro	Ad Hominem	-	1	You are the antichrist, you want to destroy our belief in god.
20	e5d4f59988bd3d72	cc600ff2cea4be17	Is Microsoft the new Apple?	contra	Appeal to Emotion	-	1	Don't you dare call Miscrosoft the new Apple, Steve Jobs just died, are you trying to upset his family?
21	83d2099bd395b439	e11a3962d5de1cde	Is it reasonable to be in talks with Baschar al-Assad?	pro	No Fallacy	-	1	There is only one way to stop a war and that is with diplomacy. We have enough historical examples for this.
22	3131c3c3befe1bef	e91c6e687a5bdf6d	Is it reasonable to be in talks with Baschar al-Assad?	contra	Irrelevant Authority	Irrelevant Authority	6	Absolutely not. My father has always told me that you should not negotiate with dictators.
